name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,ef21corr_rand,f21corr,f21,limflagmhi,confused,deconf_mode,ef21corr_sys,hitelescope,rms_hi,e_f21,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b
rf0011,0.016,0.269,0.025,0.01,0.414,0.058,-99.0,0.105,12.36,16.782,0.041,0.3353,0.024,-99.0,-99.0,0.143,4.4808,0.076,0.499,13.377,12.26,14.986,-99.0,14.639,0.434,1.575,-0.075,12.128,14.389,0.72,0.254,35.78,1.198,0.037,2.538,3.354,1.396,1.231,9.43,-99.0,5498.7,-99.0,0.053,-19.933,2.392,14.277,0.261,0.033,0.027,5550.7,0.018,0.33,0.041,13.028,15.88,1,0.13,1.66,2.06,0,1,2,0.33,ALFALFA,2.95,0.09,11.81,1,11.82,11.29,20005.0,2.89,11.81,0,2.32,1,10006.0,11.3,11.82,0
rf0012,0.015,0.252,0.023,0.009,0.682,0.053,15.931,0.097,-99.0,19.487,0.038,0.6618,0.044,0.548,-99.0,0.131,4.7535,0.07,-99.0,-99.0,2.46,17.986,-99.0,17.68,0.41,1.54,-0.011,-99.0,17.508,0.83,0.234,5.3,-99.0,0.023,2.393,3.2,1.263,1.105,8.15,-99.0,5541.2,-99.0,0.036,-16.882,2.347,17.365,0.24,0.031,0.037,5541.2,0.104,-99.0,0.021,15.91,18.901,0,0.0,0.0,0.3,1,0,0,0.0,ALFALFA,3.32,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0013,0.015,0.586,0.024,0.01,0.03,0.055,12.127,0.1,12.083,18.799,0.039,0.5907,0.028,0.195,0.027,0.136,4.9472,0.073,0.096,13.1,4.9,15.488,13.571,14.843,0.889,2.204,0.117,12.364,14.5,0.59,0.242,15.31,0.245,0.024,3.595,4.518,2.28,1.977,9.83,-99.0,5469.5,-99.0,0.027,-19.694,3.127,14.269,0.248,0.032,0.054,5469.5,0.043,0.059,0.023,12.544,16.953,1,0.0,0.0,0.17,1,0,0,0.0,AO,1.12,0.0,12.19,1,12.37,11.31,20006.0,1.04,12.19,0,0.85,1,10007.0,11.47,12.37,0
rf0014,0.014,0.325,0.022,0.009,0.334,0.052,15.548,0.094,-99.0,19.807,0.037,0.6539,0.048,0.702,0.372,0.128,5.0072,0.068,-99.0,-99.0,6.2,17.735,16.523,17.317,0.505,1.639,-0.079,14.951,17.125,0.35,0.228,12.27,1.05,0.025,2.709,3.509,1.575,1.394,8.51,-99.0,5850.6,-99.0,0.028,-17.362,2.439,17.019,0.234,0.03,0.032,5850.6,0.051,-99.0,0.021,15.276,18.826,1,0.0,0.0,0.26,0,0,0,0.0,AO,0.56,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0015,0.014,0.729,0.022,0.009,0.115,0.052,10.969,0.094,10.762,18.418,0.037,0.8266,0.021,0.221,0.036,0.128,5.1077,0.068,0.127,11.722,14.64,14.58,12.407,13.793,1.083,2.576,-0.056,11.057,13.38,0.6,0.227,31.75,0.115,0.021,4.169,5.12,2.677,2.323,10.45,-99.0,5293.5,-99.0,0.02,-20.643,3.526,13.109,0.233,0.03,0.12,5232.0,0.025,0.038,0.022,11.31,16.214,1,0.0,0.0,0.44,1,0,0,0.0,ALFALFA,2.64,0.0,12.41,1,12.61,11.74,20007.0,0.03,12.41,0,0.0,1,10008.0,12.5,12.6,0
rf0016,0.014,0.745,0.022,0.009,0.128,0.052,10.358,0.094,10.45,18.631,0.037,0.8335,0.022,0.219,0.012,0.128,5.1147,0.068,0.09,11.478,13.18,13.9,11.875,13.09,1.093,2.404,-0.043,10.77,12.659,0.75,0.227,68.33,0.039,0.023,3.933,4.849,2.623,2.275,10.77,-99.0,5736.92,-99.0,0.057,-21.506,3.32,12.394,0.233,0.03,0.068,5632.0,0.082,0.11,0.024,10.711,15.494,1,0.15,0.48,1.56,0,1,2,0.1,ALFALFA,2.64,0.15,12.37,1,12.61,12.2,20008.0,0.0,12.37,0,0.0,1,10008.0,12.5,12.6,0
rf0017,0.015,0.409,0.023,0.009,0.528,0.053,14.568,0.097,-99.0,19.544,0.038,0.5411,0.083,0.652,0.197,0.132,5.1195,0.07,-99.0,15.696,3.27,17.425,16.02,16.959,0.633,1.831,0.156,14.48,16.695,0.72,0.234,9.89,0.262,0.022,2.933,3.763,1.734,1.511,8.75,-99.0,5521.8,-99.0,0.076,-17.596,2.661,16.532,0.24,0.031,0.135,5521.8,0.032,0.159,0.022,14.8,18.539,1,0.0,0.0,0.13,0,0,0,0.0,AO,0.3,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0018,0.014,0.637,0.022,0.009,0.393,0.051,14.591,0.093,-99.0,21.769,0.036,0.8565,0.063,0.219,0.214,0.127,5.1411,0.068,-99.0,15.57,7.07,17.58,15.857,16.891,0.917,2.121,0.029,14.874,16.553,0.53,0.226,18.19,0.434,0.031,3.46,4.222,2.256,1.975,8.99,-99.0,5293.5,-99.0,0.03,-17.595,2.884,16.392,0.232,0.03,0.067,5355.0,0.341,0.209,0.034,14.778,18.996,1,0.0,0.0,0.03,1,0,0,0.0,AO,0.22,0.0,0.0,1,12.61,0.0,0.0,0.0,0.0,0,0.0,0,10008.0,12.5,12.6,0
rf0019,0.013,0.336,0.02,0.008,0.509,0.047,15.583,0.085,-99.0,19.926,0.033,0.9926,0.103,0.642,0.224,0.116,5.2572,0.062,-99.0,-99.0,5.54,17.7,16.175,17.185,0.522,1.643,0.106,-99.0,16.651,0.66,0.206,12.62,-99.0,0.241,2.771,3.571,1.65,1.464,8.51,-99.0,5736.92,-99.0,0.149,-17.475,2.443,16.794,0.212,0.027,0.056,5817.2,0.08,-99.0,0.025,15.878,18.896,1,0.0,0.0,0.19,0,0,0,0.0,AO,0.35,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0020,0.013,0.604,0.021,0.009,0.207,0.048,15.346,0.088,-99.0,21.903,0.034,0.8335,0.058,0.333,0.717,0.12,5.2621,0.064,-99.0,-99.0,3.98,18.211,16.419,17.574,0.869,2.066,-0.015,-99.0,17.258,0.43,0.213,9.87,-99.0,0.023,3.381,4.146,2.184,1.92,8.69,-99.0,5736.92,-99.0,0.022,-17.067,2.83,17.025,0.219,0.028,0.037,5761.6,0.349,-99.0,0.023,15.767,19.583,1,0.0,0.0,0.03,1,0,0,0.0,AO,0.25,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0021,0.013,0.754,0.021,0.008,0.044,0.048,11.691,0.087,11.671,20.359,0.034,1.1655,0.022,0.025,0.03,0.119,5.397,0.063,0.018,12.645,5.24,15.268,13.082,14.503,1.098,2.531,-0.001,11.895,14.121,0.33,0.211,13.2,0.03,0.024,4.126,5.042,2.693,2.35,10.07,-99.0,5617.6,-99.0,0.02,-20.083,3.446,13.823,0.217,0.028,0.027,5617.6,0.076,0.014,0.02,11.958,17.002,1,0.0,0.0,0.22,1,0,0,0.0,GBT,1.31,0.0,12.17,1,12.35,11.61,20009.0,1.58,11.92,1,1.23,1,10009.0,11.73,12.1,1
rf0022,0.013,0.681,0.021,0.008,0.165,0.048,14.161,0.087,14.218,21.697,0.034,0.5576,0.024,0.138,0.188,0.118,5.4409,0.063,0.155,15.22,3.15,17.424,15.384,16.711,0.996,2.237,-0.019,13.992,16.365,0.65,0.21,6.83,0.404,0.021,3.649,4.465,2.409,2.094,9.21,-99.0,5477.1,-99.0,0.027,-17.82,3.053,16.108,0.216,0.028,0.06,5477.1,0.1,0.113,0.021,14.259,18.936,1,0.0,0.0,0.04,1,0,0,0.0,AO,0.31,0.0,0.0,1,12.28,0.0,0.0,0.0,0.0,0,1.2,0,10010.0,11.21,12.28,0
rf0023,0.014,0.303,0.023,0.009,-99.0,0.052,-99.0,0.094,-99.0,19.407,0.037,-0.6614,0.133,-99.0,-99.0,0.128,5.9486,0.069,-99.0,15.765,4.36,17.635,-99.0,17.261,0.499,1.741,0.012,14.774,17.068,0.76,0.228,8.78,0.466,0.025,2.696,3.583,1.454,1.258,8.41,-99.0,5562.0,-99.0,0.04,-17.308,2.629,16.935,0.234,0.03,0.055,5562.0,0.036,0.168,0.021,-99.0,18.545,1,0.0,0.0,0.17,0,0,0,0.0,AO,0.26,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0024,0.013,0.363,0.021,0.009,0.374,0.049,13.348,0.088,12.906,17.7,0.034,0.8468,0.023,0.325,0.089,0.12,6.3934,0.064,0.312,13.827,6.63,15.832,14.414,15.389,0.559,1.713,-0.074,13.318,15.173,0.89,0.213,13.06,0.495,0.023,2.728,3.524,1.575,1.378,9.27,-99.0,5501.7,-99.0,0.022,-19.152,2.509,15.045,0.219,0.028,0.029,5501.7,0.017,0.127,0.024,13.587,16.883,1,0.0,0.0,1.31,0,0,0,0.0,ALFALFA,3.55,0.1,11.55,1,11.35,11.22,20010.0,4.55,11.39,1,3.59,1,10011.0,11.25,11.21,1
rf0025,0.015,0.301,0.023,0.009,0.093,0.054,13.244,0.097,13.5,17.708,0.038,1.0201,0.045,0.328,0.161,0.132,6.6043,0.071,0.201,13.832,17.1,15.579,14.324,15.099,0.459,1.498,-0.121,13.414,14.779,0.63,0.235,42.41,0.336,0.05,2.596,3.332,1.557,1.399,9.29,-99.0,5499.9,-99.0,0.044,-19.448,2.233,14.689,0.242,0.031,0.039,5499.9,0.016,0.362,0.063,13.403,16.588,1,0.0,0.0,1.83,0,0,0,0.0,ALFALFA,2.94,0.11,11.24,1,11.27,11.28,20011.0,5.34,11.03,1,4.22,1,10012.0,11.25,11.06,1
rf0026,0.012,0.287,0.018,0.007,0.359,0.042,14.887,0.076,-99.0,19.046,0.03,-0.9667,0.035,0.481,0.13,0.103,6.9744,0.055,-99.0,15.201,2.59,17.141,15.824,16.78,0.457,1.596,0.086,-99.0,16.604,0.79,0.184,6.73,-99.0,0.021,2.61,3.424,1.47,1.301,8.41,-99.0,4480.1,-99.0,0.021,-17.306,2.41,16.453,0.189,0.024,0.028,4480.1,0.048,0.387,0.023,14.739,18.129,0,0.0,0.0,0.62,0,0,0,0.0,GBT,1.39,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0027,0.011,0.199,0.017,0.007,0.237,0.039,15.879,0.071,-99.0,19.426,0.028,-1.1799,0.084,0.606,0.361,0.097,7.1395,0.052,-99.0,-99.0,7.63,17.872,16.861,17.592,0.322,1.383,-0.04,-99.0,17.452,0.25,0.172,17.37,-99.0,0.029,2.282,3.049,1.222,1.099,7.95,-99.0,4515.9,-99.0,0.022,-16.508,2.149,17.346,0.177,0.023,0.039,4515.9,0.105,-99.0,0.031,15.966,18.753,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0028,0.012,0.407,0.019,0.008,0.54,0.045,14.769,0.081,14.109,19.655,0.032,-0.2994,0.033,0.363,0.137,0.111,7.6825,0.059,0.134,15.307,6.22,17.402,15.98,16.924,0.64,1.891,-0.025,-99.0,16.685,0.27,0.197,13.84,-99.0,0.021,3.038,3.92,1.786,1.554,8.77,-99.0,5975.04,-99.0,0.021,-17.799,2.773,16.484,0.202,0.026,0.031,5995.9,0.104,0.217,0.021,14.676,18.609,1,0.0,0.0,0.25,0,0,0,0.0,GBT,0.5,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0029,0.016,0.245,0.026,0.01,0.555,0.059,13.75,0.108,13.613,17.694,0.042,0.5289,0.034,0.095,0.169,0.147,7.7174,0.078,0.095,14.313,6.81,15.985,14.96,15.652,0.387,1.452,-0.048,13.695,15.473,0.72,0.261,14.1,0.077,0.032,2.392,3.145,1.327,1.185,9.07,-99.0,5886.3,-99.0,0.021,-19.047,2.205,15.349,0.268,0.034,0.027,5880.0,0.017,0.114,0.021,14.202,16.928,1,0.14,0.77,1.09,0,1,2,0.15,ALFALFA,3.29,0.11,11.3,1,11.1,11.36,20013.0,8.97,11.28,1,7.97,1,10014.0,11.36,11.04,1
rf0030,0.016,0.398,0.025,0.01,0.185,0.059,13.079,0.107,12.688,18.006,0.042,0.4356,0.022,0.376,0.136,0.145,7.7527,0.078,0.209,14.352,4.49,16.011,14.557,15.55,0.61,1.771,0.048,13.531,15.284,0.68,0.259,16.08,0.145,0.021,2.809,3.605,1.648,1.436,9.39,-99.0,5886.3,-99.0,0.042,-19.154,2.567,15.102,0.266,0.034,0.027,5892.6,0.031,0.053,0.026,13.42,17.045,1,0.0,0.0,1.07,0,0,0,0.0,ALFALFA,2.72,0.09,11.3,1,11.1,11.36,20013.0,8.97,11.28,1,7.97,1,10014.0,11.36,11.04,1
rf0031,0.011,0.681,0.017,0.007,0.009,0.039,-99.0,0.071,11.199,18.269,0.028,-0.4073,0.023,-99.0,0.024,0.097,7.8004,0.052,0.046,12.104,7.48,14.892,12.679,14.131,1.018,2.542,-0.079,11.434,13.764,0.53,0.172,21.84,0.03,0.021,4.012,4.998,2.488,2.151,10.23,-99.0,5975.04,-99.0,0.024,-20.569,3.528,13.476,0.176,0.023,0.027,5954.2,0.036,0.066,0.02,11.483,16.32,1,0.0,0.0,1.99,0,0,0,0.0,GBT,2.26,0.15,11.22,1,10.8,11.75,20014.0,9.73,11.21,1,9.25,1,10015.0,11.79,10.68,1
rf0032,0.013,0.347,0.021,0.009,0.112,0.048,13.811,0.088,13.743,17.985,0.034,0.9006,0.043,0.395,0.247,0.12,7.9306,0.064,0.208,15.008,10.31,16.324,15.197,15.907,0.529,1.636,-0.076,14.194,15.688,0.92,0.213,23.01,0.455,0.021,2.585,3.337,1.478,1.295,8.99,-99.0,5495.9,-99.0,0.022,-18.631,2.389,15.578,0.218,0.028,0.029,5495.9,0.042,0.367,0.022,14.122,17.3,1,0.0,0.0,1.09,0,0,0,0.0,ALFALFA,2.92,0.06,11.19,1,11.22,11.14,20015.0,7.7,11.0,1,7.37,1,10016.0,11.14,11.05,1
rf0033,0.012,0.276,0.018,0.007,0.515,0.042,15.199,0.076,-99.0,18.671,0.03,-0.991,0.034,0.371,0.5,0.103,7.9583,0.055,-99.0,14.934,9.24,16.988,15.959,16.654,0.437,1.538,-0.094,14.286,16.477,0.35,0.183,20.87,0.258,0.022,2.487,3.261,1.386,1.225,8.73,-99.0,5999.4,-99.0,0.024,-18.066,2.312,16.295,0.188,0.024,0.031,5999.4,0.044,0.118,0.021,14.938,17.934,1,0.0,0.0,1.95,0,0,0,0.0,GBT,2.98,0.16,11.01,0,0.0,11.25,20016.0,13.1,10.8,0,0.0,1,0.0,0.0,0.0,1
rf0034,0.011,0.3,0.018,0.007,0.16,0.041,14.873,0.075,-99.0,19.272,0.029,-0.2872,0.036,0.426,0.284,0.101,9.1263,0.054,-99.0,15.98,6.81,17.53,16.147,17.16,0.486,1.679,-0.046,14.854,16.982,0.21,0.18,13.8,0.373,0.023,2.647,3.497,1.454,1.268,8.43,-99.0,5400.1,-99.0,0.021,-17.331,2.529,16.815,0.185,0.024,0.031,5400.1,0.089,0.138,0.023,14.961,18.534,1,0.0,0.0,0.6,0,0,0,0.0,GBT,1.02,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0035,0.013,0.306,0.02,0.008,-99.0,0.045,-99.0,0.083,-99.0,20.343,0.032,0.2777,0.432,-99.0,0.73,0.112,9.3702,0.06,-99.0,-99.0,7.09,18.227,17.07,17.829,0.488,1.671,-0.017,-99.0,17.632,0.47,0.2,17.62,-99.0,0.027,2.765,3.622,1.582,1.399,8.01,-99.0,4387.6,-99.0,0.054,-16.216,2.529,17.294,0.205,0.026,0.044,4387.6,0.065,-99.0,0.051,-99.0,19.301,0,0.0,0.0,0.56,1,0,0,0.0,ALFALFA,5.55,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0036,0.01,0.467,0.015,0.006,0.262,0.034,15.468,0.062,-99.0,20.763,0.024,1.1407,0.113,1.189,0.606,0.085,9.6684,0.045,-99.0,-99.0,3.63,18.2,16.544,17.683,0.712,1.942,0.121,-99.0,17.416,0.86,0.151,8.94,-99.0,0.022,3.163,4.014,1.933,1.688,8.31,-99.0,4405.97,-99.0,0.048,-16.369,2.793,17.222,0.155,0.02,0.068,4428.5,0.182,-99.0,0.026,15.62,19.399,0,0.0,0.0,0.25,1,0,0,0.0,ALFALFA,3.08,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0037,0.012,0.534,0.018,0.007,0.04,0.042,-99.0,0.076,10.14,15.728,0.03,0.86,0.034,-99.0,0.036,0.104,9.8954,0.055,0.228,11.005,28.57,13.215,11.608,12.643,0.805,2.039,-0.089,10.404,12.316,0.73,0.185,53.46,0.172,0.028,3.229,4.062,1.994,1.723,10.49,-99.0,4405.97,-99.0,0.028,-21.466,2.873,12.111,0.19,0.024,0.026,4527.4,0.015,0.143,0.021,10.381,14.429,0,0.0,0.0,5.18,0,0,0,0.0,ALFALFA,2.62,0.1,11.81,1,11.81,12.86,20018.0,0.0,11.57,0,0.0,1,10017.0,12.88,11.56,0
rf0038,0.012,0.625,0.019,0.008,0.199,0.043,14.794,0.078,-99.0,21.699,0.03,0.9606,0.084,0.47,0.398,0.106,9.9306,0.057,-99.0,15.698,6.07,17.751,16.04,17.127,0.904,2.123,-0.009,14.588,16.774,0.36,0.189,14.28,0.261,0.024,3.471,4.261,2.251,1.973,8.67,-99.0,4405.97,-99.0,0.045,-16.884,2.913,16.615,0.194,0.025,0.105,4325.7,0.342,0.251,0.021,14.996,19.186,0,0.0,0.0,0.34,1,0,0,0.0,ALFALFA,3.1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0039,0.012,0.178,0.019,0.008,3.349,0.045,15.555,0.082,-99.0,20.069,0.032,0.0482,0.139,1.151,0.415,0.111,10.019,0.059,-99.0,-99.0,3.82,18.222,17.25,17.993,0.284,1.313,-0.014,-99.0,17.87,0.58,0.197,8.03,-99.0,0.073,2.304,3.074,1.275,1.169,7.75,-99.0,4432.5,-99.0,0.054,-16.074,2.082,17.78,0.203,0.026,0.038,4432.5,0.117,-99.0,0.037,16.375,19.276,0,0.0,0.0,0.5,0,0,0,0.0,ALFALFA,2.45,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0040,0.015,0.499,0.024,0.01,0.09,0.054,13.128,0.099,12.617,18.537,0.039,-0.0452,0.024,0.412,0.072,0.135,10.1122,0.072,0.327,13.916,6.88,16.139,14.35,15.574,0.766,2.045,-0.024,13.353,15.293,0.48,0.239,13.53,0.174,0.025,3.208,4.092,1.929,1.662,9.49,-99.0,5984.3,-99.0,0.021,-19.158,2.929,15.058,0.246,0.031,0.027,5984.3,0.022,0.033,0.021,13.344,17.339,1,0.0,0.0,0.22,0,0,0,0.0,AO,0.37,0.02,11.26,1,11.35,11.16,20019.0,10.38,11.26,0,3.15,1,10018.0,11.33,11.35,1
